player_id,team_id,num_games,pts,avg_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf,pir,avg_pir
lostangels-carlotta,lostangels,5,22,4.4,11,43,0.255813953488372,2.2,8.6,0,0,,0.0,0.0,11,43,0.255813953488372,2.2,8.6,0,0,,0.0,0.0,3,7,10,0.6,1.4,2.0,13,2.6,9,1.8,4,0.8,0,0.0,1,0.2,17,3.4
lostangels-daria,lostangels,7,26,3.71428571428571,9,38,0.236842105263158,1.28571428571429,5.42857142857143,5,28,0.178571428571429,0.714285714285714,4.0,4,10,0.4,0.571428571428571,1.42857142857143,3,3,1.0,0.428571428571429,0.428571428571429,3,5,8,0.428571428571429,0.714285714285714,1.14285714285714,8,1.14285714285714,8,1.14285714285714,4,0.571428571428571,0,0.0,2,0.285714285714286,15,2.14285714285714
lostangels-daria,rockets,1,0,0.0,0,3,0.0,0.0,3.0,0,1,0.0,0.0,1.0,0,2,0.0,0.0,2.0,0,0,,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,-5,-5.0
lostangels-jazeps,lostangels,6,46,7.66666666666667,22,60,0.366666666666667,3.66666666666667,10.0,2,7,0.285714285714286,0.333333333333333,1.16666666666667,20,53,0.377358490566038,3.33333333333333,8.83333333333333,0,4,0.0,0.0,0.666666666666667,18,16,34,3.0,2.66666666666667,5.66666666666667,18,3.0,17,2.83333333333333,18,3.0,6,1.0,8,1.33333333333333,53,8.83333333333333
lostangels-john,lostangels,3,16,5.33333333333333,8,15,0.533333333333333,2.66666666666667,5.0,0,0,,0.0,0.0,8,15,0.533333333333333,2.66666666666667,5.0,0,0,,0.0,0.0,6,13,19,2.0,4.33333333333333,6.33333333333333,5,1.66666666666667,4,1.33333333333333,5,1.66666666666667,0,0.0,3,1.0,29,9.66666666666667
lostangels-rob,lostangels,6,85,14.1666666666667,36,66,0.545454545454545,6.0,11.0,1,2,0.5,0.166666666666667,0.333333333333333,35,64,0.546875,5.83333333333333,10.6666666666667,14,21,0.666666666666667,2.33333333333333,3.5,9,39,48,1.5,6.5,8.0,7,1.16666666666667,8,1.33333333333333,15,2.5,3,0.5,6,1.0,93,15.5
lostangels-rolands,burritos,1,2,2.0,1,2,0.5,1.0,2.0,0,0,,0.0,0.0,1,2,0.5,1.0,2.0,0,0,,0.0,0.0,1,5,6,1.0,5.0,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,7.0
lostangels-rolands,lostangels,6,24,4.0,11,27,0.407407407407407,1.83333333333333,4.5,0,0,,0.0,0.0,11,27,0.407407407407407,1.83333333333333,4.5,2,3,0.666666666666667,0.333333333333333,0.5,24,28,52,4.0,4.66666666666667,8.66666666666667,18,3.0,3,0.5,9,1.5,15,2.5,13,2.16666666666667,73,12.1666666666667
lostangels-sophie,burritos,1,0,0.0,0,1,0.0,0.0,1.0,0,0,,0.0,0.0,0,1,0.0,0.0,1.0,0,0,,0.0,0.0,0,3,3,0.0,3.0,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0
lostangels-sophie,camdenhells,2,17,8.5,8,13,0.615384615384615,4.0,6.5,0,0,,0.0,0.0,8,13,0.615384615384615,4.0,6.5,1,1,1.0,0.5,0.5,0,6,6,0.0,3.0,3.0,1,0.5,0,0.0,1,0.5,0,0.0,2,1.0,16,8.0
